Index,2019,2020,2021,2022,2023
Revenue," 70,697,000,000.00 "," 85,965,000,000.00 "," 117,929,000,000.00 "," 116,609,000,000.00 "," 134,902,000,000.00 "
Cost Of Revenue," 12,770,000,000.00 "," 16,692,000,000.00 "," 22,649,000,000.00 "," 25,249,000,000.00 "," 25,959,000,000.00 "
Gross Profit," 57,927,000,000.00 "," 69,273,000,000.00 "," 95,280,000,000.00 "," 91,360,000,000.00 "," 108,943,000,000.00 "
Gross Profit Ratio, 0.82 , 0.81 , 0.81 , 0.78 , 0.81 
Research And Development Expenses," 13,600,000,000.00 "," 18,447,000,000.00 "," 24,655,000,000.00 "," 35,338,000,000.00 "," 38,483,000,000.00 "
General And Administrative Expenses," 10,465,000,000.00 "," 6,564,000,000.00 "," 9,829,000,000.00 "," 11,816,000,000.00 "," 11,408,000,000.00 "
Selling And Marketing Expenses," 9,876,000,000.00 "," 11,591,000,000.00 "," 14,043,000,000.00 "," 15,262,000,000.00 "," 12,301,000,000.00 "
Selling General And Administrative," 20,341,000,000.00 "," 18,155,000,000.00 "," 23,872,000,000.00 "," 27,078,000,000.00 "," 23,709,000,000.00 "
Other Expenses," 27,000,000.00 ","-34,000,000.00 "," 210,000,000.00 ","-320,000,000.00 ", -   
Operating Expenses," 33,941,000,000.00 "," 36,602,000,000.00 "," 48,527,000,000.00 "," 62,416,000,000.00 "," 62,192,000,000.00 "
Costs And Expenses," 46,711,000,000.00 "," 53,294,000,000.00 "," 71,176,000,000.00 "," 87,665,000,000.00 "," 88,151,000,000.00 "
Interest Income," 924,000,000.00 "," 509,000,000.00 "," 531,000,000.00 "," 276,000,000.00 "," 1,639,000,000.00 "
Interest Expense," 20,000,000.00 "," 672,000,000.00 "," 461,000,000.00 "," 276,000,000.00 "," 446,000,000.00 "
Depreciation And Amortization," 5,741,000,000.00 "," 6,862,000,000.00 "," 7,967,000,000.00 "," 8,686,000,000.00 "," 11,178,000,000.00 "
Ebitda," 29,727,000,000.00 "," 39,533,000,000.00 "," 54,720,000,000.00 "," 37,630,000,000.00 "," 57,929,000,000.00 "
Ebitda Ratio, 0.42 , 0.46 , 0.46 , 0.32 , 0.43 
Operating Income," 23,986,000,000.00 "," 32,671,000,000.00 "," 46,753,000,000.00 "," 28,944,000,000.00 "," 46,751,000,000.00 "
Operating Income Ratio, 0.34 , 0.38 , 0.40 , 0.25 , 0.35 
Non Operating Income Loss,"-78,000,000.00 ","-163,000,000.00 "," 70,000,000.00 ","-401,000,000.00 ","-366,000,000.00 "
Income Before Tax," 24,812,000,000.00 "," 33,180,000,000.00 "," 47,284,000,000.00 "," 28,819,000,000.00 "," 47,428,000,000.00 "
Income Before Tax Ratio, 0.35 , 0.39 , 0.40 , 0.25 , 0.35 
Income Tax Expense," 6,327,000,000.00 "," 4,034,000,000.00 "," 7,914,000,000.00 "," 5,619,000,000.00 "," 8,330,000,000.00 "
Net Income," 18,485,000,000.00 "," 29,146,000,000.00 "," 39,370,000,000.00 "," 23,200,000,000.00 "," 39,098,000,000.00 "
Net Income Ratio, 0.26 , 0.34 , 0.33 , 0.20 , 0.29 
Basic Earnings Per Share, 6.48 , 10.22 , 13.99 , 8.63 , 15.19 
Diluted Earnings Per Share, 6.43 , 10.09 , 13.77 , 8.59 , 14.87 
Basic Average Shares," 2,854,000,000.00 "," 2,851,000,000.00 "," 2,815,000,000.00 "," 2,687,000,000.00 "," 2,574,000,000.00 "
Diluted Average Shares," 2,876,000,000.00 "," 2,888,000,000.00 "," 2,859,000,000.00 "," 2,702,000,000.00 "," 2,629,000,000.00 "
