Index,2019,2020,2021,2022,2023
Revenue," 125,843,000,000.00 "," 143,015,000,000.00 "," 168,088,000,000.00 "," 198,270,000,000.00 "," 211,915,000,000.00 "
Cost Of Revenue," 42,910,000,000.00 "," 46,078,000,000.00 "," 52,232,000,000.00 "," 62,650,000,000.00 "," 65,863,000,000.00 "
Gross Profit," 82,933,000,000.00 "," 96,937,000,000.00 "," 115,856,000,000.00 "," 135,620,000,000.00 "," 146,052,000,000.00 "
Gross Profit Ratio, 0.66 , 0.68 , 0.69 , 0.68 , 0.69 
Research And Development Expenses," 16,876,000,000.00 "," 19,269,000,000.00 "," 20,716,000,000.00 "," 24,512,000,000.00 "," 27,195,000,000.00 "
General And Administrative Expenses," 4,885,000,000.00 "," 5,111,000,000.00 "," 5,107,000,000.00 "," 5,900,000,000.00 "," 7,575,000,000.00 "
Selling And Marketing Expenses," 18,213,000,000.00 "," 19,598,000,000.00 "," 20,117,000,000.00 "," 21,825,000,000.00 "," 22,759,000,000.00 "
Selling General And Administrative," 23,098,000,000.00 "," 24,709,000,000.00 "," 25,224,000,000.00 "," 27,725,000,000.00 "," 30,334,000,000.00 "
Other Expenses,"-57,000,000.00 ","-40,000,000.00 "," 98,000,000.00 ","-32,000,000.00 ","-223,000,000.00 "
Operating Expenses," 39,974,000,000.00 "," 43,978,000,000.00 "," 45,940,000,000.00 "," 52,237,000,000.00 "," 57,529,000,000.00 "
Costs And Expenses," 82,884,000,000.00 "," 90,056,000,000.00 "," 98,172,000,000.00 "," 114,887,000,000.00 "," 123,392,000,000.00 "
Interest Income," 2,762,000,000.00 "," 2,680,000,000.00 "," 2,131,000,000.00 "," 2,094,000,000.00 "," 2,994,000,000.00 "
Interest Expense," 2,686,000,000.00 "," 2,591,000,000.00 "," 2,346,000,000.00 "," 2,063,000,000.00 "," 1,968,000,000.00 "
Depreciation And Amortization," 11,682,000,000.00 "," 12,796,000,000.00 "," 11,686,000,000.00 "," 14,460,000,000.00 "," 13,861,000,000.00 "
Ebitda," 57,346,000,000.00 "," 68,395,000,000.00 "," 83,831,000,000.00 "," 99,905,000,000.00 "," 105,155,000,000.00 "
Ebitda Ratio, 0.46 , 0.48 , 0.50 , 0.50 , 0.50 
Operating Income," 42,959,000,000.00 "," 52,959,000,000.00 "," 69,916,000,000.00 "," 83,383,000,000.00 "," 88,523,000,000.00 "
Operating Income Ratio, 0.34 , 0.37 , 0.42 , 0.42 , 0.42 
Non Operating Income Loss," 653,000,000.00 ","-12,000,000.00 "," 1,401,000,000.00 "," 302,000,000.00 ","-238,000,000.00 "
Income Before Tax," 43,688,000,000.00 "," 53,036,000,000.00 "," 71,102,000,000.00 "," 83,716,000,000.00 "," 89,311,000,000.00 "
Income Before Tax Ratio, 0.35 , 0.37 , 0.42 , 0.42 , 0.42 
Income Tax Expense," 4,448,000,000.00 "," 8,755,000,000.00 "," 9,831,000,000.00 "," 10,978,000,000.00 "," 16,950,000,000.00 "
Net Income," 39,240,000,000.00 "," 44,281,000,000.00 "," 61,271,000,000.00 "," 72,738,000,000.00 "," 72,361,000,000.00 "
Net Income Ratio, 0.31 , 0.31 , 0.36 , 0.37 , 0.34 
Basic Earnings Per Share, 5.11 , 5.82 , 8.12 , 9.70 , 9.72 
Diluted Earnings Per Share, 5.06 , 5.76 , 8.05 , 9.65 , 9.68 
Basic Average Shares," 7,673,000,000.00 "," 7,610,000,000.00 "," 7,547,000,000.00 "," 7,496,000,000.00 "," 7,446,000,000.00 "
Diluted Average Shares," 7,753,000,000.00 "," 7,683,000,000.00 "," 7,608,000,000.00 "," 7,540,000,000.00 "," 7,472,000,000.00 "
